Location,State,Country,Size,Bedrooms,Bathrooms,Age_of_Building,Amenities,Distance_to_Nearest_School,distance_to_nearest_Shopping,distance_to_nearest_Rail_Bus_Metro,Floor_Number,View,Renovated,Balcony_Area,Garage_Capacity,Property_Type,Price_$
Waterbury,New_York,US,1876,4,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,1,3,City,Yes,214,0,Apartment,251609
Thomasville,New_York,US,3578,4,1,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,3,2,Country,No,426,1,Villa,177869
Scottsdale,Phoenix,US,2489,5,2,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,3,2,Ocean,Yes,153,2,Apartment,341575
East Haven,New_York,US,2037,4,2,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,5,1,Ocean,Yes,338,1,Apartment,329875
Front Royal,New_York,US,2455,3,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,3,3,Country,No,130,0,Apartment,228520
Far Rockaway,New_York,US,1632,4,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,2,Sea,Yes,113,3,House,81366
San Gabriel,Los_Angeles,US,3895,5,1,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,0,4,2,City,No,479,0,Villa,417409
Clermont,New_York,US,2886,3,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,0,3,2,Ocean,Yes,383,3,House,177296
Lebanon,New_York,US,1052,5,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,1,1,Ocean,No,291,2,Villa,94406
Yonkers,New_York,US,3906,5,1,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,4,3,Ocean,No,198,3,Apartment,76784
Grand Forks,Chicago,US,1310,2,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,4,3,Sea,No,331,2,House,363388
Bryn Mawr-Skyway,Los_Angeles,US,1649,2,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,2,3,Sea,Yes,222,0,House,138164
Fitchburg,New_York,US,3015,5,2,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,5,3,Ocean,Yes,275,3,Apartment,394099
Lebanon,New_York,US,1208,4,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,2,1,City,No,459,2,House,51406
Palm Valley,New_York,US,3131,4,1,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,0,2,City,No,128,2,House,82566
Sterling,New_York,US,2145,1,3,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,0,3,2,City,Yes,208,1,Apartment,346771
Iron River,Menominee,US,1458,3,4,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,2,2,City,No,474,1,House,382530
Crystal Lake,Chicago,US,1955,4,3,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,0,3,2,Lake,Yes,300,0,Villa,50754
Waterbury,New_York,US,3153,1,5,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,2,3,Country,No,312,1,Apartment,107037
Gates-North Gates,New_York,US,3372,5,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,2,2,Sea,No,435,1,Apartment,344047
Huntley,Chicago,US,1065,1,2,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,3,1,Country,Yes,150,1,Apartment,381223
Lompoc,Los_Angeles,US,3057,3,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,1,2,1,Ocean,No,225,1,House,401948
Coralville,Chicago,US,2810,1,1,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,5,1,Sea,Yes,245,0,Apartment,435760
Bothell,Los_Angeles,US,3138,4,5,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,5,2,2,Ocean,No,312,2,Villa,233451
Nampa,Boise,US,1060,5,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,4,3,Ocean,No,151,1,House,454347
Lino Lakes,Chicago,US,3176,2,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,5,2,Country,No,183,3,Apartment,108201
Mechanicsville,New_York,US,1566,2,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,4,3,Ocean,No,294,3,Apartment,241177
Kearns,Denver,US,3152,1,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,3,2,Ocean,Yes,236,3,Apartment,472339
Toledo,New_York,US,2047,3,2,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,0,3,Sea,Yes,392,2,House,247555
Port Richmond,New_York,US,1457,5,3,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,0,2,Country,Yes,473,2,Villa,66073
Lower West Side,Chicago,US,1341,4,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,1,1,Ocean,Yes,210,3,Villa,495389
San Gabriel,Los_Angeles,US,3762,1,2,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,0,3,Sea,No,397,2,Apartment,426287
Punta Gorda Isles,New_York,US,3906,3,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,3,2,Ocean,Yes,248,0,House,283908
Bon Air,New_York,US,2879,5,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,5,4,3,Lake,No,391,1,Apartment,106853
Rolla,Chicago,US,2679,4,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,0,5,2,Lake,No,105,3,House,140596
Woodlawn,New_York,US,1506,4,4,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,0,1,Ocean,No,102,1,Villa,167783
Kearns,Denver,US,1948,2,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,2,3,Ocean,Yes,485,3,Villa,270274
Tupelo,Chicago,US,3051,1,1,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,0,0,2,Ocean,Yes,227,2,House,242192
Evergreen Park,Chicago,US,2359,5,2,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,2,2,Lake,No,241,0,House,231929
West Chester,New_York,US,2055,5,2,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,1,2,Ocean,No,102,0,Villa,490058
Westchester,Chicago,US,1332,4,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,2,3,City,Yes,265,0,House,145657
Santa Maria,Los_Angeles,US,3433,2,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,3,1,Sea,Yes,338,1,Apartment,300831
Longview,Chicago,US,2450,4,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,1,1,Ocean,No,245,1,Apartment,146365
Riverbank,Los_Angeles,US,1394,5,1,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,4,1,Lake,No,142,3,House,281509
Martinsburg,New_York,US,1208,4,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,1,1,Sea,Yes,340,0,House,365687
Columbia Heights,Chicago,US,3071,2,4,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,5,2,Lake,No,474,1,House,250989
Crystal Lake,Chicago,US,3498,3,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,1,3,Sea,Yes,281,3,Apartment,247049
Belle Glade,New_York,US,3253,3,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,3,2,Lake,Yes,189,1,House,113322
Kaukauna,Chicago,US,3286,1,3,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,0,3,2,Ocean,Yes,422,1,House,391045
Beaumont,Los_Angeles,US,2597,2,5,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,0,2,2,Sea,No,143,3,House,95163
North Lauderdale,New_York,US,1556,3,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,2,2,2,Lake,No,455,2,Villa,136375
East Haven,New_York,US,2076,3,3,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,1,3,Lake,No,238,2,House,108771
Hutchinson,Chicago,US,1336,3,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,4,2,Country,No,198,1,Apartment,402231
Nampa,Boise,US,2210,2,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,4,2,Country,No,494,3,Villa,382919
Chillum,New_York,US,3810,5,1,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,2,1,Sea,Yes,312,2,Apartment,190408
Waterbury,New_York,US,2485,5,1,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,4,1,Ocean,No,497,3,Apartment,149116
New Canaan,New_York,US,2289,4,5,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,2,2,Country,Yes,260,0,House,428668
Saratoga Springs,Denver,US,3863,1,2,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,5,2,Country,No,472,0,Villa,89655
Lompoc,Los_Angeles,US,2904,5,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,2,1,Lake,No,273,0,Apartment,173305
Mira Mesa,Los_Angeles,US,3316,5,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,1,2,Country,No,339,2,Apartment,489832
Milledgeville,New_York,US,3020,2,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,2,3,Ocean,Yes,256,1,House,213442
Pleasant Prairie,Chicago,US,2836,5,3,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,2,2,Ocean,Yes,495,0,House,132508
Copperas Cove,Chicago,US,1400,4,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,3,3,Sea,No,188,3,House,405027
Lino Lakes,Chicago,US,2622,1,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,5,3,Sea,Yes,405,2,Villa,95632
Fairview Heights,Chicago,US,2829,5,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,4,2,Sea,Yes,131,0,Villa,113614
Hutto,Chicago,US,2153,5,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,3,2,Sea,Yes,378,3,House,450439
Laguna Niguel,Los_Angeles,US,3328,4,5,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,3,2,City,No,176,3,Villa,203342
West Des Moines,Chicago,US,1707,1,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,2,2,Sea,No,211,3,House,81242
Boston,New_York,US,2076,3,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,0,2,Sea,No,222,3,Apartment,194545
Crystal Lake,Chicago,US,1861,4,4,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,4,2,Country,No,458,3,Villa,276859
Bryn Mawr-Skyway,Los_Angeles,US,2968,1,1,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,5,1,3,Ocean,No,271,0,Villa,381340
Nutley,New_York,US,3046,2,1,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,5,2,1,City,Yes,405,2,House,345562
Cypress Hills,New_York,US,2949,3,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,2,1,Lake,Yes,218,1,House,489380
Toledo,New_York,US,1291,2,4,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,4,4,2,Country,No,204,1,Apartment,451650
Acworth,New_York,US,2134,3,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,0,3,3,Lake,Yes,192,3,Apartment,464728
Porterville,Los_Angeles,US,1916,4,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,3,3,City,Yes,246,1,Apartment,423962
Leland,New_York,US,3946,1,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,2,2,Sea,Yes,112,1,Villa,81323
Bothell West,Los_Angeles,US,2714,1,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,3,3,2,Ocean,Yes,189,1,Villa,156308
Scottsdale,Phoenix,US,1773,4,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,4,2,Ocean,Yes,110,2,House,176856
Shreveport,Chicago,US,1681,1,1,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,2,2,1,Sea,Yes,244,2,Villa,425963
Waterbury,New_York,US,3801,1,3,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,5,1,3,Country,No,374,1,Apartment,65415
Fitchburg,New_York,US,2812,5,3,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,5,2,Lake,Yes,241,0,Villa,196499
New City,Chicago,US,1129,3,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,4,1,3,Ocean,Yes,247,1,Apartment,277568
Dumont,New_York,US,3585,4,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,0,1,Ocean,No,212,3,Villa,196395
Hueytown,Chicago,US,2082,3,1,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,0,2,Sea,No,316,2,Apartment,75536
Pahrump,Los_Angeles,US,3189,5,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,1,3,Country,Yes,196,0,Villa,64590
Lower West Side,Chicago,US,1988,3,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,3,1,City,No,265,2,Villa,427568
Cypress Hills,New_York,US,2312,4,3,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,1,2,Ocean,Yes,269,2,House,331303
Troutdale,Los_Angeles,US,3901,4,3,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,4,2,Lake,Yes,498,2,Villa,471118
Searcy,Chicago,US,2413,2,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,5,3,City,No,418,1,Villa,320353
Muskogee,Chicago,US,2731,5,5,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,2,2,Sea,Yes,219,1,Villa,406437
Yonkers,New_York,US,3201,3,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,2,2,Ocean,No,498,0,Apartment,377309
Pekin,Chicago,US,1357,2,5,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,2,2,Country,Yes,499,1,Apartment,116509
Leland,New_York,US,2054,4,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,3,2,Sea,Yes,141,2,Villa,166694
Fresno,Chicago,US,1413,4,4,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,0,5,3,Lake,No,433,3,Villa,92567
Ken Caryl,Denver,US,1782,2,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,2,3,Lake,No,307,2,Villa,480626
South Lawndale,Chicago,US,1233,1,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,3,1,Sea,Yes,221,2,House,455515
Middle River,New_York,US,2088,4,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,2,3,Lake,No,123,0,Apartment,161671
Stockbridge,New_York,US,2190,4,1,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,0,2,City,No,487,1,Villa,370928
Iron River,Menominee,US,3122,4,4,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,1,2,Lake,Yes,185,2,House,488721
Nutley,New_York,US,1890,2,3,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,0,2,Ocean,No,421,2,Villa,358785
Norco,Los_Angeles,US,3889,1,4,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,0,1,Ocean,Yes,390,2,Apartment,313403
Massapequa,New_York,US,1263,4,2,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,5,3,1,City,No,171,3,Apartment,305124
Gilbert,Phoenix,US,1122,4,1,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,0,2,2,Sea,Yes,479,3,Villa,470730
Greenville,Chicago,US,1985,2,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,1,3,Ocean,Yes,350,2,Villa,200111
South Whittier,Los_Angeles,US,1479,2,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,4,3,City,Yes,338,3,Apartment,413287
Toledo,New_York,US,3272,5,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,0,2,3,Ocean,No,152,1,Villa,181189
Sterling,New_York,US,2295,4,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,1,2,Lake,Yes,420,2,Apartment,298110
Jackson,Chicago,US,2046,1,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,0,5,2,City,Yes,294,0,Villa,233225
Palm Valley,New_York,US,1895,1,1,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,2,1,Sea,No,498,2,Apartment,431529
Rosedale,New_York,US,1866,3,4,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,1,1,Ocean,Yes,280,3,House,112269
Aurora,Denver,US,2364,5,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,4,3,Sea,Yes,280,3,Villa,278610
San Juan,Chicago,US,2804,2,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,1,2,Ocean,No,449,1,Apartment,265485
Rolla,Chicago,US,2301,4,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,1,2,City,No,183,2,Villa,92118
Harrisburg,New_York,US,2384,2,5,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,4,2,Lake,Yes,329,1,House,203234
Murray,Chicago,US,3313,1,2,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,1,2,Ocean,Yes,440,2,Villa,436290
Ken Caryl,Denver,US,1716,5,1,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,5,1,Sea,Yes,309,0,Villa,148969
Lexington,New_York,US,1877,2,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,4,1,Country,Yes,321,3,House,222575
Brenham,Chicago,US,3727,5,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,5,1,3,City,Yes,477,1,House,84108
Columbia Heights,Chicago,US,3350,2,4,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,2,1,Lake,No,433,1,Apartment,422893
Nampa,Boise,US,2133,5,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,1,2,Lake,Yes,392,1,House,404342
New City,Chicago,US,3254,1,1,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,0,5,1,City,No,267,0,Villa,261276
East Haven,New_York,US,1142,2,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,3,2,Sea,Yes,144,0,Villa,268873
Waterbury,New_York,US,3288,1,1,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,1,4,2,Country,No,290,1,Apartment,371514
Huntley,Chicago,US,1765,4,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,4,2,City,No,444,3,House,240469
Fairview Heights,Chicago,US,2199,4,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,1,3,2,Sea,No,378,0,House,384056
Martinsburg,New_York,US,3248,4,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,3,1,Lake,Yes,492,0,House,480711
Longview,Chicago,US,3189,1,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,1,5,2,Ocean,Yes,452,0,Apartment,122164
Fairview Heights,Chicago,US,2876,3,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,5,2,Country,No,262,1,House,259393
Laguna Niguel,Los_Angeles,US,1284,5,4,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,3,2,Sea,No,436,3,Apartment,157322
West Chester,New_York,US,1624,3,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,0,1,City,Yes,434,2,Apartment,242678
Utica,New_York,US,1171,1,1,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,0,3,Ocean,No,236,3,Apartment,343800
Woodlawn,New_York,US,3856,4,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,3,1,City,Yes,130,2,Apartment,442855
Iron River,Menominee,US,2044,4,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,3,1,2,Sea,Yes,282,2,House,414935
Peabody,New_York,US,3284,2,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,4,1,Ocean,Yes,275,3,House,376100
Iron River,Menominee,US,1870,4,4,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,3,3,Ocean,No,344,2,Villa,115656
Visitacion Valley,Los_Angeles,US,1910,3,4,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,3,3,3,Country,Yes,387,0,Villa,206544
Fresno,Chicago,US,3165,1,4,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,0,1,City,No,431,0,House,76369
Odessa,Chicago,US,3021,2,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,0,0,1,Lake,Yes,213,0,House,243385
Lexington,New_York,US,3630,4,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,5,4,3,City,No,269,0,Villa,293512
Opportunity,Los_Angeles,US,2450,3,3,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,5,1,1,Ocean,No,371,2,House,242447
Pleasant Prairie,Chicago,US,2642,1,2,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,1,3,City,Yes,158,1,Apartment,261796
Acworth,New_York,US,1064,4,2,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,3,1,Ocean,No,359,1,Villa,154969
Thomasville,New_York,US,1115,1,4,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,1,1,Ocean,Yes,146,1,Villa,299284
Rosemount,Chicago,US,3192,3,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,1,2,City,Yes,427,3,Villa,488892
Glendale,Los_Angeles,US,1321,4,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,2,3,City,Yes,224,0,House,404897
Lutz,New_York,US,2428,4,2,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,2,1,Country,Yes,126,2,Villa,439785
Deltona,New_York,US,3476,3,2,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,1,3,City,Yes,221,1,Villa,364421
Collinwood,New_York,US,3424,5,2,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,0,1,Ocean,Yes,393,1,Apartment,248035
Newburgh,New_York,US,3784,4,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,4,3,City,No,125,3,Apartment,495423
Bon Air,New_York,US,2722,4,4,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,4,3,Lake,No,224,1,House,141387
Sunnyside,Los_Angeles,US,2856,4,5,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,4,3,Lake,Yes,110,2,Apartment,121903
Schererville,Chicago,US,1665,5,3,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,4,1,Country,Yes,422,3,House,77358
Camarillo,Los_Angeles,US,1156,5,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,1,3,Lake,Yes,369,0,Villa,83922
Nampa,Boise,US,1479,4,5,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,2,1,Country,Yes,251,1,Apartment,155338
Palestine,Chicago,US,1220,2,2,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,4,1,Lake,No,378,3,Villa,184094
Brenham,Chicago,US,1297,5,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,2,1,Sea,Yes,207,2,Villa,109873
Aurora,Denver,US,3548,4,4,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,0,4,3,Country,No,302,3,Villa,152881
Kent,Los_Angeles,US,2988,3,1,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,0,3,City,Yes,316,0,Villa,415068
North Tustin,Los_Angeles,US,2657,2,3,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,3,1,Sea,Yes,214,3,Apartment,452855
Gates-North Gates,New_York,US,1029,1,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,0,2,City,No,452,3,Villa,213436
Shreveport,Chicago,US,1424,4,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,2,1,Lake,Yes,397,3,House,448498
Pottstown,New_York,US,1707,4,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,4,3,Sea,Yes,302,2,Apartment,267531
West Des Moines,Chicago,US,3239,4,3,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,4,3,Lake,Yes,409,0,Apartment,105914
Sicklerville,New_York,US,2634,2,2,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,2,1,Country,Yes,292,1,Villa,309684
Lexington,New_York,US,2331,5,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,3,2,Lake,Yes,151,3,Villa,362404
Iron River,Menominee,US,2359,3,1,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,3,2,Ocean,Yes,227,3,Villa,369573
Canton,Detroit,US,3278,1,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,2,1,2,Sea,Yes,445,3,House,388222
Kaukauna,Chicago,US,2738,1,1,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,4,1,Sea,Yes,290,0,Apartment,245265
New City,Chicago,US,3276,3,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,4,3,Country,No,362,1,House,229940
Hueytown,Chicago,US,2675,3,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,2,1,Sea,No,331,2,Apartment,276331
Morningside Heights,New_York,US,2949,4,5,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,0,1,3,Lake,Yes,241,0,Villa,94363
Covington,New_York,US,2997,5,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,4,2,1,City,Yes,368,1,House,184595
Dumont,New_York,US,1880,1,4,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,5,1,2,City,No,188,1,House,446369
Jackson,Chicago,US,2053,3,2,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,1,3,Lake,No,447,2,Villa,324494
Huntley,Chicago,US,1840,3,2,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,2,1,Lake,Yes,474,3,Apartment,447931
